"Designator","Quantity","Value","Footprint"
"C11, C32, C34, C22, ","4","1uF","MRS_Passives:C0603"
"C12, C41, ","2","0.1uF","MRS_Passives:C0603"
"C31, C33, C21, ","3","10uF","MRS_Passives:C1210"
"C35, ","1","10nF","MRS_Passives:C0603"
"D1, ","1","PPS1045-3G","MRS_TO:TO-277-3"
"D31, ","1","MBR230LSFT1G","MRS_Diodes:SOD-123"
"H1, H2, H3, H4, ","4","Mounting_hole_unplated_3,2mm","MRS_Mechanical:Mounting_hole_unplated_3,2mm"
"H111, ","1","Mr_Gardener_Logo_Small","Logos:mrg_gardener_12mm"
"J1, ","1","Barrel_Jack","MRS_Connectors:BarrelJack_Horizontal"
"J2, ","1","Header_1x6","MRS_Connectors:Header_1x06_P2.54mm"
"J3, J4, J5, J6, J7, J8, J9, J10, ","8","A2501WR-2P1","MRS_Connectors:A2501WR-2P1"
"J11, J12, J13, J14, ","4","S3B-ZR","MRS_Connectors:S3B-ZR"
"J15, ","1","S2B-ZR","MRS_Connectors:S2B-ZR"
"L31, ","1","2.2uH","MRS_Passives:L1210"
"LD1, ","1","RF-W2SA50TS-A39R","MRS_Diodes:RF-W2SA50TS-A39R"
"Q7, Q8, Q9, Q10, Q3, Q4, Q5, Q6, ","8","IRLML6346TRPBF","MRS_SOT:SOT-23"
"R12, R11, R7, R8, R9, R10, R31, R3, R4, R5, R6, R16, R13, R15, R17, ","15","10k","MRS_Passives:R0603"
"R19, R20, R21, R22, R23, R24, R25, R26, ","8","1k","MRS_Passives:R0603"
"R32, ","1","49k9","MRS_Passives:R0603"
"R33, ","1","15k8","MRS_Passives:R0603"
"R112, R111, R113, ","3","150R","MRS_Passives:R0603"
"U1, ","1","ESP32-WROOM","MRS_Communication:ESP32-WROOM"
"U2, ","1","MCP3424-E_SL","MRS_SO:SOIC-14"
"U3, ","1","AOZ1280","MRS_SOT:SOT-23-6"
"U4, ","1","SHT31","MRS_Sensors:SHT31"
