"Designator","Quantity","Value","Cmp name","Footprint","Description","TME","Farnell","Mouser"
"C11, C32, C34, C22, ","4","1uF","C","MRS_Passives:C0603","","CL10A105KA8NNNC","",""
"C12, C41, ","2","0.1uF","C","MRS_Passives:C0603","","CL10B104KO8NNNC","",""
"C31, C33, C21, ","3","10uF","C","MRS_Passives:C1210","","CL32B106KAJNNNE","",""
"C35, ","1","10nF","C","MRS_Passives:C0603","","CL10A105KA8NNNC","",""
"D1, ","1","PPS1045-3G","Diode_Schottky","MRS_TO:TO-277-3","","PPS1045-3G-DIO","",""
"D31, ","1","MBR230LSFT1G","Diode_Schottky","MRS_Diodes:SOD-123","","MBR230LSFT1G","",""
"H1, H2, H3, H4, ","4","Mounting_hole_unplated_3,2mm","Mounting_hole_unplated_3,2mm","MRS_Mechanical:Mounting_hole_unplated_3,2mm","","","",""
"H111, ","1","Mr_Gardener_Logo_Small","Mr_Gardener_Logo_Small","Logos:mrg_gardener_12mm","","","",""
"J1, ","1","Barrel_Jack","Barrel_Jack","MRS_Connectors:BarrelJack_Horizontal","DC Barrel Jack","PC-GK2.5","",""
"J2, ","1","Header_1x6","Header_1x6","MRS_Connectors:Header_1x06_P2.54mm","","","",""
"J3, J4, J5, J6, J7, J8, J9, J10, ","8","A2501WR-2P1","NXW-02","MRS_Connectors:A2501WR-2P1","","NX2500-02SMR","",""
"J11, J12, J13, J14, ","4","S3B-ZR","NXW-03","MRS_Connectors:S3B-ZR","","S3B-ZR","",""
"J15, ","1","S2B-ZR","NXW-02","MRS_Connectors:S2B-ZR","","S2B-ZR","",""
"L31, ","1","2.2uH","L","MRS_Passives:L1210","","LQH32PN2R2NN0L","",""
"LD1, ","1","RF-W2SA50TS-A39R","RF-W2SA50TS-A39R","MRS_Diodes:RF-W2SA50TS-A39R","","RF-W2SA50TS-A39R","",""
"Q7, Q8, Q9, Q10, Q3, Q4, Q5, Q6, ","8","IRLML6346TRPBF","IRLML6346TRPBF","MRS_SOT:SOT-23","","IRLML6346TRPBF","",""
"R12, R11, R7, R8, R9, R10, R31, R3, R4, R5, R6, R16, R13, R15, R17, ","15","10k","R","MRS_Passives:R0603","","WF06P-10K-5%","",""
"R19, R20, R21, R22, R23, R24, R25, R26, ","8","1k","R","MRS_Passives:R0603","","WF06P-1K-5%","",""
"R32, ","1","49k9","R","MRS_Passives:R0603","","WF06P-10K-5%","",""
"R33, ","1","15k8","R","MRS_Passives:R0603","","WF06P-10K-5%","",""
"R112, R111, R113, ","3","150R","R","MRS_Passives:R0603","","WF06P-150R-5%","",""
"U1, ","1","ESP32-WROOM","ESP32-WROOM","MRS_Communication:ESP32-WROOM","","ESP32-WROOM-32D","",""
"U2, ","1","MCP3424-E_SL","MCP3424-E_SL","MRS_SO:SOIC-14","","MCP3424-E/SL","",""
"U3, ","1","AOZ1280","AOZ1280","MRS_SOT:SOT-23-6","Buck converter","AOZ1280CI","",""
"U4, ","1","SHT31","SHT31","MRS_Sensors:SHT31","","SHT31-DIS-B","",""
